,Абсолютная ошибка ,Относительная ошибка ,Теоретическая ошибка 
3,0.00789397506166356,0.6614132946785226,0.006130219971409857
5,2.9230490781337326e-05,0.0024491381163142686,7.662774964262326e-05
10,5.779821066198565e-13,4.842744579485794e-11,1.2232473687855775e-10
20,5.511147094239277e-13,4.617630444211964e-11,1.8666209495301408e-25
30,3.242685564508463e-10,2.7169522655877838e-08,1.698906903007088e-42
40,3.9632639059483665e-07,3.3207039764340986e-05,5.437524225187805e-61
50,0.0002073996848548365,0.017377418576011605,1.4315124764669344e-80
60,0.14949788130607922,12.245950050373496,5.126450769286571e-101
70,217.84457382177104,100.54772881276774,3.4858197329036125e-122
80,120319.11413765281,99.99901032437687,5.707521517050224e-144
90,225361719.29517743,100.00000052838642,2.6886587382256e-166
100,108715286550.58337,100.00000000016433,4.184517322582428e-189
